codigo;descricao;vigencia_inicio;vigencia_fim
1436;CANCELAMENTO DO ACORDO ANTERIOR À DATA DE REALIZAÇÃO DO PROCEDIMENTO;2012-10-10;2026-06-30
1437;SENHA DE AUTORIZAÇÃO CANCELADA;2013-04-01;
1438;PROCEDIMENTO SOLICITADO NÃO AUTORIZADO POR NÃO ATENDER A DIRETRIZ DE UTILIZAÇÃO (DUT) DO ROL DE PROCEDIMENTOS E EVENTOS EM SAÚDE DA ANS;2013-04-01;2026-06-30
1501;TEMPO DE EVOLUÇÃO DA DOENÇA INVÁLIDO;2006-11-16;2026-06-30
1502;TIPO DE DOENÇA INVÁLIDO;2006-11-16;2026-06-30
1503;INDICADOR DE ACIDENTE INVÁLIDO;2006-11-16;
1504;CARÁTER DE INTERNAÇÃO INVÁLIDO;2006-11-16;2026-06-30
1506;TIPO DE INTERNAÇÃO INVÁLIDO;2006-11-16;
1507;URGÊNCIA/EMERGÊNCIA NÃO APLICÁVEL;2016-05-01;2026-06-30
1508;CÓDIGO CID NÃO INFORMADO;2006-11-16;2026-06-30
1509;CÓDIGO CID INVÁLIDO;2006-11-16;
1601;REINCIDÊNCIA NO ATENDIMENTO;2006-11-16;
1602;TIPO DE ATENDIMENTO INVÁLIDO OU NÃO INFORMADO;2006-11-16;
1603;TIPO DE CONSULTA INVÁLIDO;2006-11-16;
1604;TIPO DE SAÍDA INVÁLIDO;2006-11-16;
1606;FINAL DA INTERVENÇÃO ANTERIOR AO INÍCIO DA INTERVENÇÃO;2006-11-16;2026-06-30
1607;ALTA HOSPITALAR ANTERIOR AO FINAL DA INTERVENÇÃO;2006-11-16;
1608;ALTA ANTERIOR À DATA DE INTERNAÇÃO;2006-11-16;
1610;ÓBITO MULHER INVÁLIDO;2006-11-16;2026-06-30
1611;INTERVENÇÃO ANTERIOR A INTERNAÇÃO;2006-11-16;2026-06-30
1612;SERVIÇO NÃO PODE SER REALIZADO NO LOCAL ESPECIFICADO;2006-11-16;2026-06-30
1613;CONSULTA NÃO AUTORIZADA;2006-11-16;2026-06-30
1614;SERVIÇO AMBULATORIAL NÃO AUTORIZADO;2006-11-16;2026-06-30
1615;INTERNAÇÃO NÃO AUTORIZADA;2006-11-16;2026-06-30
1701;COBRANÇA FORA DO PRAZO DE VALIDADE;2006-11-16;2026-06-30
1702;COBRANÇA DE PROCEDIMENTO EM DUPLICIDADE;2006-11-16;2026-06-30
1703;HORÁRIO DO ATENDIMENTO NÃO ESTÁ NA FAIXA DE URGÊNCIA/EMERGÊNCIA;2006-11-16;2026-06-30
1704;VALOR COBRADO SUPERIOR AO ACORDADO EM PACOTE;2006-11-16;2026-06-30
1705;VALOR APRESENTADO A MAIOR;2006-11-16;
1706;VALOR APRESENTADO A MENOR;2006-11-16;
1707;NÃO EXISTE INFORMAÇÃO SOBRE A TABELA QUE SERÁ UTILIZADA NA VALORAÇÃO. VERIFIQUE O CONTRATO DO PRESTADOR;2006-11-16;2026-06-30
1708;NÃO EXISTE VALOR PARA O PROCEDIMENTO REALIZADO;2006-11-16;2026-06-30
1709;FALTA PRESCRIÇÃO MÉDICA;2006-11-16;2026-06-30
1710;FALTA VISTO DA ENFERMAGEM;2006-11-16;
1711;PROCEDIMENTO PERTENCE A UM PACOTE ACORDADO E JÁ COBRADO;2006-11-16;
1712;ASSINATURA DO MÉDICO RESPONSÁVEL PELO EXAME INEXISTENTE;2006-11-16;2026-06-30
1713;FATURAMENTO INVÁLIDO;2006-11-16;
1714;VALOR DO SERVIÇO SUPERIOR AO VALOR DE TABELA;2006-11-16;2026-06-30
1715;VALOR DO SERVIÇO INFERIOR AO VALOR DE TABELA;2006-11-16;2026-06-30
1716;PERCENTUAL DE REDUÇÃO/ACRÉSCIMO FORA DOS VALORES DEFINIDOS EM TABELA;2006-11-16;
1717;PAGO  CONFORME RELATÓRIO DE AUDITORIA EXTERNA - CONTA INICIAL;2012-10-10;
1719;REANÁLISE NEGADA, ANÁLISE CONFORME TABELA ACORDADA;2012-10-10;
1720;LIBERADOS 150% DE VÍDEO, SEM COBERTURA PARA ADICIONAL DE ACOMODAÇÃO;2012-10-10;2026-06-30
1721;CÓDIGO COBRADO SUBSTITUÍDO PELO CÓDIGO PAGO;2012-10-10;
1722;PAGO CONFORME NEGOCIAÇÃO;2012-10-10;
1723;ADICIONAL DE URGÊNCIA NÃO PREVISTO PARA ATENDIMENTO CLÍNICO;2012-10-10;2026-06-30
1724;VISITA MÉDICA COBRADA PELA EQUIPE CIRÚRGICA INCLUÍDA NO PERÍODO DE 10 DIAS APÓS REALIZAÇÃO DO PROCEDIMENTO CIRÚRGICO;2012-10-10;
1725;VALOR PAGO A MAIOR REFERENTE À TAXA ADMINISTRATIVA;2012-10-10;2026-06-30
1726;VALOR APRESENTADO A MAIOR - PLANO INDIVIDUAL;2012-10-10;2026-06-30
1727;PAGO VALOR COMPATIVEL COM O PROCEDIMENTO;2012-10-10;2026-06-30
1728;COBRANÇA DE MATERIAL INCLUSO NO PROCEDIMENTO / EXAME REALIZADO;2012-10-10;2026-06-30
1729;COBRANÇA DE MATERIAL COM VALOR ACIMA DO PERMITIDO PARA PROCEDIMENTO/EXAME REALIZADO;2012-10-10;2026-06-30
1730;FILME INCLUSO NO EXAME REALIZADO;2012-10-10;2026-06-30
1731;TAXA INCOMPATIVEL PARA ATENDIMENTO AMBULATORIAL;2012-10-10;2026-06-30
1733;RECUPERAÇÃO DE VALORES POR PAGAMENTO INDEVIDO;2012-10-10;
1735;COBRANÇA DE PACOTE NÃO NEGOCIADO COM O PRESTADOR;2013-04-01;2026-06-30
1736;CONTA AGUARDANDO NEGOCIAÇÃO PARA PAGAMENTO;2013-04-01;
1737;DIFERENÇA DEVE SER COBRADA DO BENEFICIÁRIO PELO PRESTADOR COMO FRANQUIA;2013-04-01;
1738;DOCUMENTO FISCAL NÃO ENVIADO;2013-04-01;
1739;DUPLICIDADE DE CONTA DEVIDO A PERIODO COBRADO JÁ EFETUADO EM OUTRA PARCIAL;2013-04-01;2026-06-30
1740;ESTORNO DO VALOR DE PROCEDIMENTO PAGO;2013-04-01;
1741;HONORÁRIO OU PROCEDIMENTO JÁ PAGO A OUTRO PRESTADOR;2013-04-01;
1742;HONORÁRIO OU PROCEDIMENTO JÁ PAGO POR REEMBOLSO AO BENEFICIÁRIO;2013-04-01;
1743;NÃO HÁ NEGOCIAÇÃO PARA COBRANÇA DO KIT, DISCRIMINAR POR ITENS;2013-04-01;
1744;NEGOCIAÇÃO DIFERENCIADA DEVIDO A LIMINAR;2013-04-01;
1745;PAGAMENTO DA EQUIPE CONFORME RELATÓRIO DO CIRURGIÃO;2013-04-01;2026-06-30
1746;PERCENTUAL DE ACRÉSCIMO DIFERENTE DO NEGOCIADO;2013-04-01;
1747;PLANO DO BENEFICIÁRIO E O TIPO DE ACOMODAÇÃO NÃO PERMITEM ACRÉSCIMO DE HONORÁRIOS;2013-04-01;
1748;PROCEDIMENTO NÃO CARACTERIZA URGÊNCIA/EMÊRGENCIA;2013-04-01;2026-06-30
1749;RELATÓRIO DE AUDITORIA NÃO ENVIADO NA CONTA.;2013-04-01;2026-06-30
1801;PROCEDIMENTO INVÁLIDO;2006-11-16;
1802;PROCEDIMENTO INCOMPATÍVEL COM O SEXO DO BENEFICIÁRIO;2006-11-16;
1803;IDADE DO BENEFICIÁRIO INCOMPATÍVEL COM O PROCEDIMENTO;2006-11-16;
1804;NÚMERO DE DIAS LIBERADOS / SESSÕES AUTORIZADAS NÃO INFORMADAS;2006-11-16;2026-06-30
1805;VALOR TOTAL DO PROCEDIMENTO DIFERENTE DO VALOR PROCESSADO;2006-11-16;
1806;QUANTIDADE DE PROCEDIMENTO DEVE SER MAIOR QUE ZERO;2006-11-16;
1807;PROCEDIMENTOS MÉDICOS DUPLICADOS;2006-11-16;2026-06-30
1808;PROCEDIMENTO NÃO CONFORME COM CID;2006-11-16;2026-06-30
1809;COBRANÇA DE PROCEDIMENTO NÃO EXECUTADO;2006-11-16;
1810;COBRANÇA DE PROCEDIMENTO NÃO SOLICITADO PELO MÉDICO;2006-11-16;2026-06-30
1811;PROCEDIMENTO SEM REGISTRO DE EXECUÇÃO;2006-11-16;
1812;COBRANÇA DE PROCEDIMENTO NÃO CORRELACIONADO AO RELATÓRIO ESPECÍFICO;2006-11-16;2026-06-30
1813;COBRANÇA DE PROCEDIMENTO SEM JUSTIFICATIVA PARA REALIZAÇÃO OU COM JUSTIFICATIVA INSUFICIENTE.;2006-11-16;2026-06-30
1816;COBRANÇA DE PROCEDIMENTO EM QUANTIDADE INCOMPATÍVEL COM O PROCEDIMENTO/EVOLUÇÃO CLÍNICA;2006-11-16;2026-06-30
1817;COBRANÇA DE PROCEDIMENTO INCLUSO NO PROCEDIMENTO PRINCIPAL;2006-11-16;2026-06-30
1818;COBRANÇA DE PROCEDIMENTO QUE EXIGE AUTORIZAÇÃO PRÉVIA;2006-11-16;
