codigo;descricao;vigencia_inicio;vigencia_fim
3144;NÃO É NECESSÁRIA AUTORIZAÇÃO PRÉVIA;2016-05-01;
3145;NÃO AUTORIZADO POR MOTIVO TÉCNICO;2016-05-01;
3146;PRODUTO CONTRATADO NÃO ADAPTADO À LEI 9.656/98, SEM COBERTURA CONTRATUAL PARA O ITEM SOLICITADO;2016-05-01;
3147;MATERIAL PASSÍVEL DE REPROCESSAMENTO;2016-05-01;
3148;TIPO DE TRANSAÇÃO INVÁLIDO;2016-05-01;
3149;INDICADOR DE ENVIO EM PAPEL INVÁLIDO;2016-05-01;
3150;CÓDIGO DA TABELA INVÁLIDO;2016-05-01;
3151;O ESTABELECIMENTO DE SAÚDE PARA O QUAL FOI SOLICITADA A INFORMAÇÃO SOBRE PARTOS NÃO POSSUÍA VÍNCULO COM A OPERADORA NO PERÍODO A QUE SE REFERE A INFORMAÇÃO;2016-05-01;2026-06-30
3152;O PROFISSIONAL PARA O QUAL FOI SOLICITADA A INFORMAÇÃO SOBRE PARTOS NÃO POSSUÍA VÍNCULO COM A OPERADORA NO PERÍODO A QUE SE REFERE A INFORMAÇÃO;2016-05-01;2026-06-30
3153;O ESTABELECIMENTO DE SAÚDE PARA O QUAL FOI SOLICITADA A INFORMAÇÃO SOBRE PARTOS NÃO POSSUI VÍNCULO COM A OPERADORA;2016-05-01;2026-06-30
3154;O PROFISSIONAL PARA O QUAL FOI SOLICITADA A INFORMAÇÃO SOBRE PARTOS NÃO POSSUI VÍNCULO COM A OPERADORA;2016-05-01;2026-06-30
3155;PARTOGRAMA OU RELATÓRIO MÉDICO NÃO DISPONÍVEL PARA CONSULTA DA OPERADORA;2016-05-01;
5001;MENSAGEM ELETRÔNICA FORA DO PADRÃO TISS;2006-11-16;
5002;NÃO FOI POSSÍVEL VALIDAR O ARQUIVO XML;2006-11-16;
5003;ENDEREÇO DO REMETENTE INVÁLIDO;2006-11-16;
5004;ENDEREÇO DO DESTINATÁRIO INVÁLIDO;2006-11-16;
5005;REMETENTE NÃO IDENTIFICADO;2006-11-16;
5006;DESTINATÁRIO NÃO IDENTIFICADO;2006-11-16;
5007;MENSAGEM INCONSISTENTE OU INCOMPLETA;2006-11-16;
5008;ESPAÇO RESERVADO PARA A CAIXA DE SAÍDA INSUFICIENTE;2006-11-16;2026-06-30
5009;ESPAÇO RESERVADO PARA A CAIXA DE ENTRADA INSUFICIENTE;2006-11-16;2026-06-30
5010;ENVIO DE MENSAGEM NÃO FOI TERMINADO;2006-11-16;
5011;ENVIO DE MENSAGEM FINALIZADA;2006-11-16;
5012;RECEBIMENTO DE MENSAGEM NÃO FINALIZADO;2006-11-16;
5013;RECEBIMENTO DE MENSAGEM FINALIZADA;2006-11-16;
5017;ARQUIVO PROCESSADO PELA ANS;2013-12-01;
5018;CERTIFICADO DIGITAL INVÁLIDO;2014-05-01;
5019;CERTIFICADO DIGITAL VENCIDO;2014-05-01;
5020;CERTIFICADO DIGITAL REVOGADO;2014-05-01;
5021;CADEIA DE CERTIFICAÇÃO INVÁLIDA;2014-05-01;
5022;ASSINATURA DIGITAL NÃO CONFERE;2014-05-01;
5023;COMPETÊNCIA NÃO ESTÁ LIBERADA PARA ENVIO DE DADOS;2014-05-01;
5024;OPERADORA INATIVA NA COMPETÊNCIA DOS DADOS;2014-05-01;
5025;DATA DE REGISTRO DA TRANSAÇÃO INVÁLIDA;2014-05-01;
5026;HORA DE REGISTRO DA TRANSAÇÃO INVÁLIDA;2014-05-01;
5027;REGISTRO ANS DA OPERADORA INVÁLIDO;2014-05-01;
5028;VERSÃO DO PADRÃO INVÁLIDA;2014-05-01;
5029;INDICADOR INVÁLIDO;2014-05-01;
5030;CÓDIGO DO MUNÍCIPIO INVÁLIDO;2014-05-01;
5031;CARÁTER DE ATENDIMENTO INVÁLIDO;2014-05-01;2026-06-30
5032;INDICADOR DE RECÉM-NATO INVÁLIDO;2014-05-01;
5033;MOTIVO DE ENCERRAMENTO INVÁLIDO;2014-05-01;
5034;VALOR NÃO INFORMADO;2014-05-01;
5035;CÓDIGO DA TABELA DE REFERÊNCIA NÃO INFORMADO;2014-05-01;
5036;CÓDIGO DO GRUPO DO PROCEDIMENTO INVÁLIDO;2014-05-01;
5037;CÓDIGO DO DENTE INVÁLIDO;2014-05-01;
5038;CÓDIGO DA REGIÃO DA BOCA INVÁLIDO;2014-05-01;
5039;CÓDIGO DA FACE DO DENTE INVÁLIDO;2014-05-01;
5040;VALOR DEVE SER MAIOR QUE ZERO;2014-05-01;
5041;QUANTIDADE NÃO INFORMADA;2014-05-01;2026-06-30
5042;VALOR INFORMADO DA GUIA DIFERENTE DO SOMATÓRIO DO VALOR INFORMADO DOS ITENS;2014-05-01;
5043;MOTIVO INVÁLIDO;2014-05-01;
5044;JÁ EXISTEM INFORMAÇÕES NA ANS PARA A COMPETÊNCIA INFORMADA;2014-05-01;
5045;COMPETÊNCIA ANTERIOR NÃO ENVIADA;2014-05-01;
5046;COMPETÊNCIA INVÁLIDA;2014-05-01;
5047;NÚMERO DO LOTE NÃO INFORMADO;2016-05-01;
5048;DATA DE NASCIMENTO DO BENEFICIÁRIO INVÁLIDA;2016-05-01;
5049;VALOR TOTAL MENOR QUE ZERO NA GUIA;2016-05-01;
5050;VALOR INFORMADO INVÁLIDO;2016-05-01;
5052;IDENTIFICADOR INEXISTENTE;2016-05-01;
5053;IDENTIFICADOR JÁ INFORMADO;2016-05-01;
5054;IDENTIFICADOR NÃO ENCONTRADO;2016-05-01;
5055;IDENTIFICADOR JÁ INFORMADO NA COMPETÊNCIA;2016-05-01;
5056;IDENTIFICADOR NÃO INFORMADO NA COMPETÊNCIA;2016-05-01;
5057;GUIA DE CONSULTA COM MAIS DE UM PROCEDIMENTO;2016-05-01;
5058;PROCEDIMENTO INCOMPATÍVEL COM O TIPO DE GUIA;2016-05-01;
5059;EXCLUSÃO INVÁLIDA - EXISTEM LANÇAMENTOS VINCULADOS A ESTA FORMA DE CONTRATAÇÃO;2016-05-01;
5060;VALOR TOTAL PAGO DIFERENTE DA SOMA DAS PARCELAS PAGAS NO LANÇAMENTO;2016-05-01;
5061;TIPO DE ATENDIMENTO OPERADORA INTERMEDIÁRIA NÃO INFORMADO;2018-01-01;
5062;REGISTRO ANS DA OPERADORA INTERMEDIÁRIA NÃO INFORMADO;2018-01-01;
3156;TOKEN INVÁLIDO;2019-03-01;
3157;QR CODE INVÁLIDO;2019-03-01;
3158;BIOMETRIA – FALHA NA TRANSMISSÃO;2019-03-01;
3159;BIOMETRIA – NÃO COMPATÍVEL;2019-03-01;
3160;TIME OUT - TENTE NOVAMENTE;2021-08-01;
3161;PRAZO DE ENVIO FORA DO PERÍODO CONTRATUAL ACORDADO ENTRE AS PARTES;2021-08-01;
3162;Código do protocolo não encontrado;2021-08-01;2026-06-30
3163;NÃO NECESSITA DE IMAGEM;2021-08-01;
3164;ARQUIVO ENVIADO NÃO É DE IMAGEM;2021-08-01;
3165;ARQUIVO DE IMAGEM CORROMPIDO;2021-08-01;
3166;ARQUIVO ENVIADO EXCEDE O TAMANHO MÁXIMO PERMITIDO;2021-08-01;
3167;SEQUENCIAL INVÁLIDO;2022-10-01;
3168;ASSINATURA DIGITAL INVÁLIDA OU NÃO ENVIADA;2022-10-01;
5063;PAR CNPJ x CNES NAO ENCONTRADO NA BASE DO CNES;2022-10-01;
5064;TIPO DE ESTABELECIMENTO NO CNES NÃO É APTO PARA INTERNAÇÃO;2022-10-01;
5067;DIAGNÓSTICO EM DUPLICIDADE;2022-10-01;
5068;DECLARAÇÃO DIFERENTE DO LANÇAMENTO ANTERIOR DA GUIA;2022-10-01;
5069;CÓDIGO DO DENTE DIFERENTE DO LANÇAMENTO ANTERIOR DA GUIA;2022-10-01;
5070;CÓDIGO DA REGIÃO DA BOCA DIFERENTE DO LANÇAMENTO ANTERIOR DA GUIA;2022-10-01;
5071;CÓDIGO DA FACE DO DENTE DIFERENTE DO LANÇAMENTO ANTERIOR DA GUIA;2022-10-01;
5072;VALOR INFORMADO DIFERENTE DO LANÇAMENTO ANTERIOR DA GUIA;2022-10-01;
5073;O PRIMEIRO LANCAMENTO DA GUIA SÓ PODE SER EXCLUIDO SE ELE FOR O ÚNICO;2022-10-01;
5074;REGIME DE ATENDIMENTO INVÁLIDO;2022-10-01;
5075;CID DIFERENTE DO LANÇAMENTO ANTERIOR DA GUIA;2022-10-01;
5076;CPF NÃO ENCONTRADO NA RECEITA FEDERAL;2022-10-01;
5077;SEXO NA RECEITA FEDERAL DIFERENTE DO INFORMADO PARA O CPF;2022-10-01;
5078;DATA DE NASCIMENTO NA RECEITA FEDERAL DIFERENTE DA INFORMADA PARA O CPF;2022-10-01;
5080;MODELO DE REMUNERAÇÃO NÃO INFORMADO;2022-10-01;
5081;MODELO DE REMUNERAÇÃO NÃO DEVE SER INFORMADO PARA REEMBOLSO/PRESTADOR EVENTUAL;2022-10-01;
5083;SOMA DOS VALORES DOS MODELOS DE REMUNERAÇÃO DIFERENTE DO VALOR INFORMADO DA GUIA;2022-10-01;
5084;UNIDADE DE MEDIDA NÃO DEVE SER PREENCHIDA PARA A TABELA TUSS INFORMADA;2022-10-01;
5085;UNIDADE DE MEDIDA É OBRIGATÓRIA PARA A TABELA TUSS INFORMADA;2022-10-01;
5086;DADO DIVERGENTE COM A RECEITA FEDERAL PARA ESTE CNS (CPF/SEXO/DATA NASCIMENTO);2022-10-01;
1017;DATA DE VALIDADE DA CARTEIRA VENCIDA;2025-12-01;
1102;PROTOCOLO É DE REAPRESENTAÇÃO;2025-12-01;
1301;TIPO DE GUIA INVÁLIDO;2025-12-01;
1505;REGIME DE INTERNAÇÃO INVÁLIDO;2025-12-01;
1605;INTERVENÇÃO ANTERIOR À ADMISSÃO;2025-12-01;
1609;MOTIVO DE SAÍDA INVÁLIDO;2025-12-01;
1718;REANÁLISE NEGADA, PAGO CONFORME RELATÓRIO DE AUDITORIA;2025-12-01;
1732;QUIMIOTERAPIA (QT) COM DATA DE EVENTO DIVERGENTE DA LIBERADA;2025-12-01;
1734;COBRADA CONTA ABERTA, PAGO O PACOTE CONFORME NEGOCIAÇÃO;2025-12-01;
1814;COBRANÇA DE PROCEDIMENTO COM DATA DE AUTORIZAÇÃO POSTERIOR À DO ATENDIMENTO;2025-12-01;
1822;COBRANÇA DE PROCEDIMENTO COM AUSÊNCIA DE RESULTADO OU LAUDO TÉCNICO;2025-12-01;
1823;PROCEDIMENTO REALIZADO PELO MESMO PROFISSIONAL, NA MESMA ESPECIALIDADE, EM PRAZO INFERIOR AO ESTIPULADO SEM JUSTIFICATIVA ADEQUADA;2025-12-01;
1827;COBRANÇA DE OUTRO PROCEDIMENTO EM OUTRA GUIA, NA MESMA DATA, PELO MESMO PROFISSIONAL COM MESMO GRAU DE PARTICIPAÇÃO - LIBERADO VALOR REFERENTE À VIA DE ACESSO DO PROCEDIMENTO SECUNDÁRIO;2025-12-01;
1829;ADICIONAL DE VÍDEO NÃO PREVISTO PARA O PROCEDIMENTO;2025-12-01;
1839;NECESSÁRIO ENVIO DO RESULTADO DO EXAME ANATOMOPATOLÓGICO;2025-12-01;
1910;COBRANÇA DE DIÁRIAS EM LOCAIS DE ACOMODAÇÕES DIFERENTES, NO MESMO DIA;2025-12-01;
1911;PERMANÊNCIA HOSPITALAR PARA INVESTIGAÇÃO INJUSTIFICADA;2025-12-01;
1917;FALTA PRORROGAÇÃO PARA QUANTIDADE DE DIÁRIAS COBRADAS;2025-12-01;
2504;QUANTIDADE DE SESSÕES COBRADAS NÃO CONDIZ COM AS ASSINATURAS NO CONTROLE DE TRATAMENTO SERIADO;2025-12-01;
2511;AUSÊNCIA DE EVOLUÇÃO NO PRONTUÁRIO MÉDICO DO TRATAMENTO SERIADO REALIZADO;2025-12-01;
2601;CODIFICAÇÃO INCORRETA/INADEQUADA DO PROCEDIMENTO;2025-12-01;
2605;NÃO CABE PAGAMENTO DO HONORÁRIO INTEGRAL POR SER A MESMA VIA DE ACESSO CIRÚRGICO;2025-12-01;
2607;COBRANÇA DE HONORÁRIOS EM DUPLICIDADE;2025-12-01;
3028;EVENTO RESTRITO A ESPECIALISTAS;2025-12-01;
3042;APÓS ANÁLISE DA RADIOGRAFIA INICIAL, VERIFICOU-SE EXODONTIA DE INCLUSO;2025-12-01;
3043;APÓS ANÁLISE DA RADIOGRAFIA INICIAL, VERIFICOU-SE EXODONTIA DE SEMI-INCLUSO;2025-12-01;
3044;APÓS ANÁLISE DA RADIOGRAFIA INICIAL, VERIFICOU-SE EXODONTIA SIMPLES;2025-12-01;
3050;COBRANÇA DE URGÊNCIA/EMERGÊNCIA NA VIGÊNCIA DO TRATAMENTO ODONTOLÓGICO;2025-12-01;
3053;ELEMENTOS PODEM SER VISUALIZADOS EM UMA MESMA PELÍCULA;2025-12-01;
3054;IDENTIFICADO(S) CONDUTO(S) NÃO OBTURADO(S);2025-12-01;
3069;RADIOGRAFIA INDICA A NECESSIDADE DE TRATAMENTO ENDODÔNTICO;2025-12-01;
3070;RADIOGRAFIA INDICA A PRESENÇA DE RAIZ RESIDUAL NO ALVEÓLO;2025-12-01;
3071;RADIOGRAFIA INDICA AUSÊNCIA DE NÚCLEO;2025-12-01;
3073;RADIOGRAFIA INDICA DESVIO DA TRAJETÓRIA DO CANAL;2025-12-01;
3125;RADIOGRAFIA SUGERE INDICAÇÃO DE RETRATAMENTO ENDODÔNTICO;2025-12-01;
3135;PROFISSIONAL INFORMADO PARA REEMBOLSO PERTENCE À REDE DA OPERADORA;2025-12-01;
5014;CÓDIGO HASH INVÁLIDO. MENSAGEM PODE ESTAR CORROMPIDA;2025-12-01;
5015;NÚMERO DE GUIAS/DEMONSTRATIVOS DENTRO DA MENSAGEM SUPERIOR AO TAMANHO MÁXIMO PERMITIDO;2025-12-01;
5016;SEM NENHUMA OCORRÊNCIA DE MOVIMENTO NA COMPETÊNCIA PARA ENVIO À ANS;2025-12-01;
5051;COMPETÊNCIA DO ARQUIVO DIFERENTE DA COMPETÊNCIA DA DATA DE PROCESSAMENTO DO LANÇAMENTO;2025-12-01;
5066;NÚMERO DA DECLARAÇÃO EM DUPLICIDADE;2025-12-01;
5079;MODELO DE REMUNERAÇÃO EM DUPLICIDADE;2025-12-01;
3139;TRATAMENTO ORTODÔNTICO SUSPENSO A PEDIDO DO DENTISTA;2025-12-01;
5082;MODELO DE REMUNERAÇÃO NÃO DEVE SER INFORMADO PARA REDE PRÓPRIA COM MESMO CNPJ;2025-12-01;
5065;TIPO DE ATIVIDADE ECONÔMICA DO CNPJ NÃO É APTO PARA INTERNAÇÃO;2025-12-01;
3169;ASSINATURA DO BENEFICIÁRIO TITULAR/RESPONSÁVEL INEXISTENTE/DIVERGENTE;2026-02-01;
3170;ASSINATURA/CARIMBO DO PROFISSIONAL SOLICITANTE INEXISTENTE;2025-12-01;
3171;ATENDIMENTO DENTRO DA CARÊNCIA DO BENEFICIÁRIO;2025-12-01;
3172;AUSÊNCIA DE RADIOGRAFIA PERIAPICAL DO TRATAMENTO ENDODÔNTICO CONCLUÍDO;2025-12-01;
3173;BENEFICIÁRIO EM CUMPRIMENTO DE COBERTURA PARCIAL TEMPORÁRIA (DLP PREEXISTENTE) PARA O PROCEDIMENTO/ITEM ASSISTENCIAL SOLICITADO;2025-12-01;
3174;BENEFICIÁRIO EM TRATAMENTO COM O MESMO PROFISSIONAL;2025-12-01;
3175;BENEFICIÁRIO EM TRATAMENTO COM OUTRO PROFISSIONAL;2025-12-01;
3176;BENEFICIÁRIO NÃO SE ENCONTRA NO LOCAL DO ATENDIMENTO;2025-12-01;
3177;BENEFICIÁRIO TITULAR SEM DADOS BANCÁRIOS CADASTRADOS;2025-12-01;
3178;CANCELAMENTO DO PROCEDIMENTO POR SOLICITAÇÃO DO BENEFICIÁRIO;2025-12-01;
3179;CANCELAMENTO DO PROCEDIMENTO POR SOLICITAÇÃO DO PRESTADOR;2025-12-01;
3180;CARÁTER DE ATENDIMENTO INVÁLIDO;2025-12-01;
3181;COBRANÇA DE ITEM ASSISTENCIAL PARA ATENDIMENTO QUE GEROU UMA INTERNAÇÃO;2025-12-01;
3182;COBRANÇA DE HONORÁRIO EM LOCAL DE ATENDIMENTO INVÁLIDO;2025-12-01;
3183;COBRANÇA DE ITEM ASSISTENCIAL COM PERMANÊNCIA MENOR QUE O PERÍODO ESTIPULADO;2025-12-01;
3184;COBRANÇA DE ITEM ASSISTENCIAL COM VALOR ACIMA DO PERMITIDO PARA O PROCEDIMENTO REALIZADO;2025-12-01;
3185;COBRANÇA DE ITEM ASSISTENCIAL DE USO OBRIGATÓRIO NO LOCAL DE ATENDIMENTO;2025-12-01;
3186;COBRANCA DE ITEM ASSISTENCIAL EM AMBIENTE INCOMPATÍVEL COM O USO DE EQUIPAMENTOS;2025-12-01;
3187;COBRANÇA DE ITEM ASSISTENCIAL EM BENEFICIÁRIO INTERNADO NA UTI/CTI;2025-12-01;
3188;COBRANÇA DE ITEM ASSISTENCIAL EM PERMANÊNCIA HOSPITALAR NÃO AUTORIZADA;2025-12-01;
3189;COBRANÇA DE ITEM ASSISTENCIAL EM QUANTIDADE INCOMPATÍVEL COM A PERMANÊNCIA HOSPITALAR;2025-12-01;
3190;COBRANÇA DE ITEM ASSISTENCIAL EM QUANTIDADE INCOMPATÍVEL COM O PROCEDIMENTO;2025-12-01;
3191;COBRANÇA DE ITEM ASSISTENCIAL EM QUANTIDADE INCORRETA;2025-12-01;
3192;COBRANÇA DE ITEM ASSISTENCIAL EM TIPO DE DESPESA INVÁLIDA;2025-12-01;
3193;COBRANÇA DE ITEM ASSISTENCIAL INCLUSO NO PROCEDIMENTO REALIZADO;2025-12-01;
3194;COBRANÇA DE ITEM ASSISTENCIAL INCOMPATÍVEL COM DIAGNÓSTICO E/OU EVOLUÇÃO CLÍNICA;2025-12-01;
3195;COBRANÇA DE ITEM ASSISTENCIAL INCOMPATÍVEL COM O PROCEDIMENTO REALIZADO/USO PREVISTO NO PROCEDIMENTO;2025-12-01;
3196;COBRANÇA DE ITEM ASSISTENCIAL INCOMPATÍVEL COM O UTILIZADO/PRESCRITO;2025-12-01;
3197;COBRANÇA DE ITEM ASSISTENCIAL NÃO UTILIZADO;2025-12-01;
3198;COBRANÇA DE ITEM ASSISTENCIAL PARA BENEFICIARIO COM PÓS-OPERATÓRIO IMEDIATO REALIZADO NA UTI/CTI;2025-12-01;
3199;COBRANÇA DE ITEM ASSISTENCIAL SEM A PRESENÇA DO ANESTESISTA;2025-12-01;
3200;COBRANÇA DE ITEM ASSISTENCIAL SEM O REGISTRO DE PERMANÊNCIA COMPATÍVEL;2025-12-01;
3201;COBRANÇA DE ITEM ASSISTENCIAL SEM REGISTRO NO BOLETIM ANESTÉSICO E DURAÇÃO DE USO;2025-12-01;
3202;COBRANÇA DE ITEM INCLUSO NO PROCEDIMENTO PRINCIPAL;2025-12-01;
3203;COBRANÇA DE MAIS DE UM ITEM ASSISTENCIAL, POR CONTA DO NÚMERO DE PROCEDIMENTOS REALIZADOS NO MESMO TEMPO CIRÚRGICO;2025-12-01;
3204;COBRANÇA DE PROCEDIMENTO EM QUANTIDADE INCOMPATÍVEL COM O PROCEDIMENTO/EVOLUÇÃO CLÍNICA;2025-12-01;
3205;COBRANÇA DE PROCEDIMENTO NÃO SOLICITADA PELO PROFISSIONAL SOLICITANTE;2025-12-01;
3206;COBRANÇA DE PROCEDIMENTO/ ITEM ASSISTENCIAL INCOMPATÍVEL COM RELATÓRIO TÉCNICO;2025-12-01;
3207;COBRANÇA DE PROCEDIMENTO/ITEM ASSISTENCIAL INCLUSO NAS TAXAS;2025-12-01;
3208;COBRANÇA DE PROCEDIMENTO/ITEM ASSISTENCIAL COM QUANTITATIVO DE USO EM DIVERGÊNCIA/PAGO VALOR CORRIGIDO;2025-12-01;
3209;COBRANÇA DE PROCEDIMENTO/ITEM ASSISTENCIAL EM DUPLICIDADE;2025-12-01;
3210;COBRANÇA DE PROCEDIMENTO/ITEM ASSISTENCIAL EM QUANTIDADE ACIMA DA MÁXIMA PERMITIDA/AUTORIZADA;2025-12-01;
3211;COBRANÇA DE PROCEDIMENTO/ITEM ASSISTENCIAL INCLUSO NO PACOTE NEGOCIADO;2025-12-01;
3212;COBRANÇA DE PROCEDIMENTO/ITEM ASSISTENCIAL INCOMPATÍVEL COM RELATÓRIO TÉCNICO;2025-12-01;
3213;COBRANÇA DE PROCEDIMENTO/ITEM ASSISTENCIAL SEM PRESCRIÇÃO MÉDICA;2025-12-01;
3214;COBRANÇA FORA DO PRAZO ESTIPULADO NO CONTRATO COM O PRESTADOR;2025-12-01;
3215;COBRANÇA INDEVIDA DE ITEM ASSISTENCIAL;2025-12-01;
3216;COBRANÇA INDEVIDA DE ITEM ASSISTENCIAL PARA ADMINISTRAÇÃO DE MEDICAMENTOS;2025-12-01;
3217;COBRANÇA/SOLICITAÇÃO DE PROCEDIMENTO/ITEM ASSISTENCIAL SEM JUSTIFICATIVA PARA REALIZAÇÃO OU COM JUSTIFICATIVA INSUFICIENTE;2025-12-01;
3218;CÓDIGO DO PROCEDIMENTO NO DOCUMENTO ENVIADO NÃO IDENTIFICADO PARA A AUTORIZAÇÃO/FATURAMENTO/GLOSA;2025-12-01;
3219;CÓDIGO DO PROCEDIMENTO/ITEM ASSISTENCIAL PREENCHIDO INCORRETAMENTE;2025-12-01;
3220;COMPROVANTE DE DESEMBOLSO AUSENTE;2025-12-01;
3221;COMPROVANTE DE DESEMBOLSO IRREGULAR;2025-12-01;
3222;DADOS DO PROFISSIONAL SOLICITANTE DIVERGENTES;2025-12-01;
3223;DATA DE ATENDIMENTO POSTERIOR À DATA DE ENVIO DO LOTE;2025-12-01;
3224;DATA DE INÍCIO DA INTERNAÇÃO ANTERIOR À DATA DE EMISSÃO DA GUIA;2025-12-01;
3225;DATA DE INÍCIO DA INTERNAÇÃO É POSTERIOR À DATA DE REALIZAÇÃO DO PROCEDIMENTO;2025-12-01;
3226;DATA DO ATENDIMENTO NÃO INFORMADA;2025-12-01;
3227;DATA PREENCHIDA NA GUIA DIVERGENTE DA DATA DE REALIZAÇÃO DO PROCEDIMENTO;2025-12-01;
3228;DATA PREENCHIDA NA GUIA DIVERGENTE DA DATA REGISTRADA NO EXAME;2025-12-01;
3229;DESCRIÇÃO DO PROCEDIMENTO/ITEM ASSISTENCIAL NÃO INFORMADA;2025-12-01;
3230;DOCUMENTAÇÃO INCOMPLETA, ILEGÍVEL, INCORRETA OU AUSENTE;2025-12-01;
3231;DOCUMENTAÇÃO RADIOGRÁFICA INCOMPLETA;2025-12-01;
3232;DUPLICIDADE DE CONTA DEVIDO A PERÍODO JÁ APRESENTADO EM OUTRA PARCIAL;2025-12-01;
3233;ESPECIALIDADE DO PRESTADOR VERIFICADA PELO CBO NÃO ESTÁ AUTORIZADA A EXECUTAR O PROCEDIMENTO;2025-12-01;
3234;EVENTO GLOSADO POR AUDITORIA;2025-12-01;
3235;EXAME COMPLEMENTAR NÃO ENVIADO;2025-12-01;
3236;EXAMES DEVEM SER SOLICITADOS EM RECEITUÁRIOS PRÓPRIO DO CD;2025-12-01;
3237;FAVOR VERIFICAR O CÓDIGO CORRETO PARA A DOCUMENTAÇÃO SOLICITADA E AS CONDIÇÕES DE REPASSE;2025-12-01;
3238;FORMULÁRIO DE REEMBOLSO AUSENTE;2025-12-01;
3239;FORMULÁRIO DE REEMBOLSO INCOMPLETO;2025-12-01;
3240;FORMULÁRIO DE REEMBOLSO IRREGULAR;2025-12-01;
3241;GRAU DE PARTICIPAÇÃO INFORMADO INCOMPATÍVEL COM O PROCEDIMENTO COBRADO;2025-12-01;
3242;GUIA NÃO PERTENCE AO PRESTADOR QUE ESTÁ REALIZANDO O ENVIO DO RECURSO DE GLOSA;2025-12-01;
3243;IDENTIFICAÇÃO DO BENEFICIÁRIO INCOMPLETA/INVÁLIDA;2025-12-01;
3244;IMAGEM NÃO SUGERE INDICAÇÃO PARA RESTAURAÇÃO DAS FACES SOLICITADAS;2025-12-01;
3245;IMAGEM RADIOGRÁFICA RECORTADA SEM POSSIBILIDADE DE IDENTIFICAÇÃO DO DENTE SOLICITADO;2025-12-01;
3246;IMAGEM SUGERE SULCO PIGMENTADO E/OU MANCHA BRANCA;2025-12-01;
3247;INFORMAR AS DATAS PARA O TRATAMENTO SERIADO POR DATA DE REALIZAÇÃO;2025-12-01;
3248;INTERNAÇÃO JÁ CONCLUÍDA, PRORROGAÇÃO NÃO PERMITIDA;2025-12-01;
3249;INTERNAÇÃO JÁ CONCLUÍDA, REALIZAÇÃO DO ATENDIMENTO NÃO PERMITIDA;2025-12-01;
3250;INTERNAÇÃO NÃO ABERTA, NÃO É PERMITIDO CONCLUÍ-LA;2025-12-01;
3251;ITEM ASSISTENCIAL EM DESACORDO COM OS CRITÉRIOS TÉCNICOS ADOTADOS PELA OPERADORA;2025-12-01;
3252;ITEM ASSISTENCIAL INCOMPATÍVEL E/OU SEM COBERTURA PARA O TIPO DE ATENDIMENTO;2025-12-01;
3253;ITEM ASSISTENCIAL INVÁLIDO;2025-12-01;
3254;ITEM ASSISTENCIAL PAGO A FORNECEDOR TERCEIRIZADO;2025-12-01;
3255;ITEM ASSISTENCIAL SEM NOTA FISCAL DO FORNECEDOR;2025-12-01;
3256;ITEM CONTRATADO EM OUTRO MODELO DE REMUNERAÇÃO;2025-12-01;
3257;ITEM NÃO JUSTIFICADO PARA O CENTRO DE CONSUMO INFORMADO;2025-12-01;
3258;LOCAL DE ATENDIMENTO INVÁLIDO;2025-12-01;
3259;LOTE NÃO PERTENCE AO PRESTADOR QUE ESTÁ REALIZANDO O ENVIO DO RECURSO DE GLOSA;2025-12-01;
3260;NÃO É PERMITIDO ACRÉSCIMO NO ITEM ASSISTENCIAL PARA O ITEM COBRADO;2025-12-01;
3261;NECESSÁRIO ENVIO DE FOTOGRAFIA SOBRE O TRATAMENTO SOLICITADO;2025-12-01;
3262;NECESSÁRIO ENVIO DE ETIQUETAS DO ENXERTO REALIZADO;2025-12-01;
3263;NECESSÁRIO ENVIO DE ETIQUETAS DO IMPLANTE INSTALADO;2025-12-01;
3264;NECESSÁRIO ENVIO DE NOVA RADIOGRAFIA FINAL;2025-12-01;
3265;NECESSITA RELATÓRIO DE AUDITORIA;2025-12-01;
3266;NOME DO BENEFICIÁRIO DIVERGENTE DA SOLICITAÇÃO DO PROCEDIMENTO;2025-12-01;
3267;NOME E CONSELHO DE REGISTRO DO PRESTADOR SÃO DIVERGENTES ENTRE SI;2025-12-01;
3268;NÚMERO DE LOTE JÁ INFORMADO ANTERIORMENTE;2025-12-01;
3269;NÚMERO DO CONSELHO/UF DO PROFISSIONAL INATIVO, NÃO INFORMADO OU INVÁLIDO;2025-12-01;
3270;NÚMERO DO LOTE INFORMADO NÃO LOCALIZADO;2025-12-01;
3271;O CÓDIGO AUTORIZADO ESTÁ INCOMPATÍVEL COM A PRESCRIÇÃO;2025-12-01;
3272;O CRM INFORMADO CONSTA INVÁLIDO OU INATIVO JUNTO AO CONSELHO REGIONAL DE MEDICINA DO SEU ESTADO;2025-12-01;
3273;O ESTABELECIMENTO DE SAÚDE OU PROFISSIONAL PARA O QUAL FOI SOLICITADA A INFORMAÇÃO SOBRE PARTOS NÃO POSSUÍA VÍNCULO COM A OPERADORA NO PERÍODO A QUE SE REFERE A INFORMAÇÃO;2025-12-01;
3274;PAGAMENTO DA EQUIPE CONFORME RELATÓRIO DO PROFISSIONAL SOLICITANTE;2025-12-01;
3275;PRAZO PRESCRITO PARA SOLICITAÇÃO DE REEMBOLSO;2025-12-01;
3276;PRESTADOR EXECUTANTE NÃO CONFERE COM O PRESTADOR SOLICITANTE DA SENHA AUTORIZADA;2025-12-01;
